2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: Accept-Encoding: gzip, deflate, br, zstd
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: If-None-Match: W/"34f-71pxzopWTejQ55/ycWUp+sZUY3k"
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: Accept-Language: ru,en;q=0.9
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:53] GET /login HTTP/1.1: 
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: If-None-Match: W/"34f-71pxzopWTejQ55/ycWUp+sZUY3k"
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Client disconnected, remaining clients: 1
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:53] GET /login HTTP/1.1: 
2025-04-26 10:58:53 [Thread-1] INFO  org.example.networkchat.Server - Broadcasting message: GET /login HTTP/1.1 has left the chat
2025-04-26 10:58:53 [Thread-0] INFO  org.example.networkchat.Client - Received: GET /login HTTP/1.1 has left the chat
2025-04-26 10:58:54 [Thread-2] INFO  o.example.networkchat.ClientHandler - User GET /login HTTP/1.1 connected
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: GET /login HTTP/1.1 has joined the chat
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: GET /login HTTP/1.1 has joined the chat
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: Host: localhost:8081
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:54] GET /login HTTP/1.1: Host: localhost:8081
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: Connection: keep-alive
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:54] GET /login HTTP/1.1: Connection: keep-alive
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: Cache-Control: max-age=0
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: sec-ch-ua: "Not A(Brand";v="8", "Chromium";v="132", "YaBrowser";v="25.2", "Yowser";v="2.5"
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:54] GET /login HTTP/1.1: Cache-Control: max-age=0
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:54] GET /login HTTP/1.1: sec-ch-ua: "Not A(Brand";v="8", "Chromium";v="132", "YaBrowser";v="25.2", "Yowser";v="2.5"
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: sec-ch-ua-mobile: ?0
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:54] GET /login HTTP/1.1: sec-ch-ua-mobile: ?0
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: sec-ch-ua-platform: "Windows"
2025-04-26 10:58:54 [Thread-0] INFO  org.example.networkchat.Client - Received: [2025-04-26 10:58:54] GET /login HTTP/1.1: sec-ch-ua-platform: "Windows"
2025-04-26 10:58:54 [Thread-2] INFO  org.example.networkchat.Server - Broadcasting message: [2025-04-26 10:58:54] GET /login HTTP/1.1: Upgrade-Insecure-Requests: 1
